35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
0:0,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8
0:0,69:14,124:0,35:1,35:1,35:1,35:1,35:1,35:1,35:1,124:0,69:14,0:0
69:14,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,69:13
124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,113:0,0:0,0:0,0:0,0:0,0:0,35:1
64:6,0:0,0:0,0:0,0:0,113:0,113:0,113:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,113:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0
69:13,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,69:13
0:0,69:14,124:0,35:1,0:0,35:1,35:1,35:1,35:1,35:1,124:0,69:14,0:0
0:0,0:0,35:1,35:1,35:1,35:1,35:1,35:1,35:1,35:1,35:1,0:0,0:0
0:0,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1,0:0
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,-118:0,0:0,-118:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,113:0,0:0,-118:0,0:0,0:0,0:0,35:1
64:8,0:0,0:0,0:0,68:4,113:0,113:0,113:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,113:0,0:0,-118:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,-118:0,0:0,-118:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
0:0,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1,0:0
0:0,0:0,35:1,35:1,0:0,35:1,35:1,35:1,35:1,35:1,35:1,0:0,0:0
0:0,0:0,35:1,35:1,35:1,35:1,35:1,35:1,35:1,35:1,35:1,0:0,0:0
0:0,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1,0:0
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,-118:0,0:0,113:0,0:0,113:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,113:0,0:0,113:0,-118:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,113:0,113:0,113:0,113:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,113:0,0:0,113:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,-118:0,0:0,113:0,0:0,113:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
0:0,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1,0:0
0:0,0:0,35:1,35:1,35:1,35:1,35:1,35:1,35:1,35:1,35:1,0:0,0:0
0:0,0:0,0:0,0:0,35:1,124:0,98:0,124:0,35:1,0:0,0:0,0:0,0:0
0:0,0:0,35:1,35:1,0:0,0:0,0:0,0:0,0:0,35:1,35:1,0:0,0:0
0:0,35:1,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1,35:1,0:0
0:0,35:1,0:0,0:0,113:0,113:0,113:0,113:0,113:0,113:0,0:0,35:1,0:0
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,113:0,0:0,0:0,35:1
124:0,0:0,0:0,0:0,-118:0,0:0,113:0,0:0,0:0,113:0,0:0,0:0,124:0
98:0,0:0,0:0,0:0,0:0,113:0,113:0,113:0,0:0,0:0,0:0,0:0,98:0
124:0,0:0,0:0,0:0,0:0,0:0,113:0,0:0,0:0,0:0,0:0,0:0,124:0
35:1,0:0,0:0,0:0,0:0,0:0,-118:0,0:0,0:0,0:0,0:0,0:0,35:1
0:0,35:1,0:0,0:0,113:0,113:0,113:0,113:0,113:0,0:0,0:0,35:1,0:0
0:0,35:1,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1,35:1,0:0
0:0,0:0,35:1,35:1,0:0,0:0,0:0,0:0,0:0,35:1,35:1,0:0,0:0
0:0,0:0,0:0,0:0,35:1,124:0,98:0,124:0,35:1,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,69:14,35:8,0:0,35:8,69:13,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:1,0:0,98:0,0:0,35:1,0:0,0:0,0:0,0:0
0:0,0:0,0:0,35:1,0:0,0:0,0:0,0:0,0:0,35:1,0:0,0:0,0:0
0:0,0:0,35:1,0:0,0:0,0:0,113:0,0:0,0:0,0:0,35:1,0:0,0:0
69:14,35:1,0:0,0:0,0:0,0:0,113:0,0:0,0:0,0:0,0:0,35:1,69:14
35:8,0:0,0:0,0:0,113:0,0:0,113:0,0:0,0:0,0:0,0:0,0:0,35:8
0:0,98:0,0:0,0:0,0:0,113:0,113:0,113:0,-118:0,0:0,0:0,98:0,0:0
35:8,0:0,0:0,0:0,-118:0,0:0,113:0,0:0,0:0,0:0,0:0,0:0,35:8
69:13,35:1,0:0,0:0,0:0,0:0,113:0,0:0,0:0,0:0,0:0,35:1,69:14
0:0,0:0,35:1,0:0,0:0,0:0,113:0,0:0,0:0,0:0,35:1,0:0,0:0
0:0,0:0,0:0,35:1,0:0,0:0,0:0,0:0,0:0,35:1,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:1,0:0,98:0,0:0,35:1,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,69:13,35:8,0:0,35:8,69:13,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,35:8,0:0,35:8,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:1,0:0,98:0,0:0,35:1,0:0,0:0,0:0,0:0
0:0,0:0,0:0,35:1,0:0,0:0,44:13,0:0,0:0,35:1,0:0,0:0,0:0
0:0,0:0,35:1,0:0,0:0,0:0,113:0,0:0,0:0,0:0,35:1,0:0,0:0
0:0,35:8,0:0,0:0,113:0,0:0,113:0,0:0,0:0,0:0,0:0,35:8,0:0
0:0,0:0,98:0,44:13,113:0,113:0,113:0,113:0,113:0,44:13,98:0,0:0,0:0
0:0,35:8,0:0,0:0,113:0,0:0,113:0,0:0,0:0,0:0,0:0,35:8,0:0
0:0,0:0,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1,0:0,0:0
0:0,0:0,0:0,35:1,0:0,0:0,44:13,0:0,0:0,35:1,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:1,0:0,98:0,0:0,35:1,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,35:8,0:0,35:8,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,35:8,0:0,35:8,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:1,0:0,98:0,0:0,35:1,0:0,0:0,0:0,0:0
0:0,0:0,0:0,35:1,0:0,0:0,98:0,0:0,0:0,35:1,0:0,0:0,0:0
0:0,0:0,35:8,0:0,0:0,0:0,98:0,0:0,0:0,0:0,35:8,0:0,0:0
0:0,0:0,0:0,98:0,98:0,98:0,124:0,98:0,98:0,98:0,0:0,0:0,0:0
0:0,0:0,35:8,0:0,0:0,0:0,98:0,0:0,0:0,0:0,35:8,0:0,0:0
0:0,0:0,0:0,35:1,0:0,0:0,98:0,0:0,0:0,35:1,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:1,0:0,98:0,0:0,35:1,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,35:8,0:0,35:8,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,35:8,0:0,35:8,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:8,35:8,0:0,35:8,35:8,0:0,0:0,0:0,0:0
0:0,0:0,0:0,35:8,35:8,35:8,0:0,35:8,35:8,35:8,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,69:14,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,35:8,35:8,35:8,0:0,35:8,35:8,35:8,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:8,35:8,0:0,35:8,35:8,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,35:8,0:0,35:8,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
